#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,zählername
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T00:15:00Z,4447.924998888888,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T00:30:00Z,4448.149196666666,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T00:45:00Z,4448.391415555556,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T01:00:00Z,4448.619567777777,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T01:15:00Z,4448.8450530303035,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T01:30:00Z,4449.066768888889,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T01:45:00Z,4449.313434444443,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T02:00:00Z,4449.5362111111135,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T02:15:00Z,4449.749445555555,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T02:30:00Z,4449.97188,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T02:45:00Z,4450.203570000002,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T03:00:00Z,4450.427627777776,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T03:15:00Z,4450.6584155555565,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T03:30:00Z,4450.89329,counter,stromzaehler,Hausanschluss
,,0,2022-09-01T00:00:00Z,2023-09-01T00:00:00Z,2022-09-01T03:45:00Z,4451.138284444445,counter,stromzaehler,Hausanschluss
